n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size,chromatic_number_norm,clique_number_norm,max_independent_set_size_norm,domination_number_norm,min_clique_cover_size_norm,chromatic_to_clique_ratio,chromatic_to_max_independent_ratio,clique_to_max_independent_ratio,domination_to_clique_ratio,min_clique_cover_to_chromatic_ratio,chromatic_minus_clique,min_clique_cover_minus_chromatic,max_independent_plus_clique,chromatic_number_sq,clique_number_sq,max_independent_set_size_sq,chromatic_clique_product,chromatic_number_log,clique_number_sqrt,n_sq,n_inv,n_bin_medium,n_bin_large,chromatic_number_norm_x_clique_number_norm
250,0,74,74,10,248,12,0.296,0.296,0.04,0.992,0.048,1.0,7.4,7.4,3.3513513513513513,0.16216216216216217,0,-62,84,5476,5476,100,5476,4.31748811353631,8.602325267042627,62500,0.004,True,False,0.08761599999999999
450,1,211,207,11,447,13,0.4688888888888889,0.46,0.024444444444444446,0.9933333333333333,0.028888888888888888,1.0193236714975846,19.181818181818183,18.818181818181817,2.1594202898550723,0.061611374407582936,4,-198,218,44521,42849,121,43677,5.356586274672012,14.38749456993816,202500,0.0022222222222222222,False,True,0.2156888888888889
250,0,93,93,11,241,14,0.372,0.372,0.044,0.964,0.056,1.0,8.454545454545455,8.454545454545455,2.5913978494623655,0.15053763440860216,0,-79,104,8649,8649,121,8649,4.543294782270004,9.643650760992955,62500,0.004,True,False,0.138384
500,1,233,224,15,493,16,0.466,0.448,0.03,0.986,0.032,1.0401785714285714,15.533333333333333,14.933333333333334,2.200892857142857,0.06866952789699571,9,-217,239,54289,50176,225,52192,5.455321115357702,14.966629547095765,250000,0.002,False,True,0.208768
250,0,69,66,10,241,12,0.276,0.264,0.04,0.964,0.048,1.0454545454545454,6.9,6.6,3.6515151515151514,0.17391304347826086,3,-57,76,4761,4356,100,4554,4.248495242049359,8.12403840463596,62500,0.004,True,False,0.07286400000000001
300,1,135,132,11,292,13,0.45,0.44,0.03666666666666667,0.9733333333333334,0.043333333333333335,1.0227272727272727,12.272727272727273,12.0,2.212121212121212,0.0962962962962963,3,-122,143,18225,17424,121,17820,4.912654885736052,11.489125293076057,90000,0.0033333333333333335,True,False,0.198
150,0,49,46,11,142,12,0.32666666666666666,0.30666666666666664,0.07333333333333333,0.9466666666666667,0.08,1.065217391304348,4.454545454545454,4.181818181818182,3.0869565217391304,0.24489795918367346,3,-37,57,2401,2116,121,2254,3.912023005428146,6.782329983125268,22500,0.006666666666666667,True,False,0.10017777777777777
50,0,18,15,6,30,7,0.36,0.3,0.12,0.6,0.14,1.2,3.0,2.5,2.0,0.3888888888888889,3,-11,21,324,225,36,270,2.9444389791664403,3.872983346207417,2500,0.02,False,False,0.108
50,0,18,18,6,45,7,0.36,0.36,0.12,0.9,0.14,1.0,3.0,3.0,2.5,0.3888888888888889,0,-11,24,324,324,36,324,2.9444389791664403,4.242640687119285,2500,0.02,False,False,0.1296
150,0,39,39,9,142,12,0.26,0.26,0.06,0.9466666666666667,0.08,1.0,4.333333333333333,4.333333333333333,3.641025641025641,0.3076923076923077,0,-27,48,1521,1521,81,1521,3.6888794541139363,6.244997998398398,22500,0.006666666666666667,True,False,0.06760000000000001
100,0,41,41,7,86,9,0.41,0.41,0.07,0.86,0.09,1.0,5.857142857142857,5.857142857142857,2.097560975609756,0.21951219512195122,0,-32,48,1681,1681,49,1681,3.7376696182833684,6.4031242374328485,10000,0.01,False,False,0.16809999999999997
200,1,100,93,8,196,9,0.5,0.465,0.04,0.98,0.045,1.075268817204301,12.5,11.625,2.10752688172043,0.09,7,-91,101,10000,8649,64,9300,4.61512051684126,9.643650760992955,40000,0.005,True,False,0.2325
200,0,58,50,8,165,11,0.29,0.25,0.04,0.825,0.055,1.16,7.25,6.25,3.3,0.1896551724137931,8,-47,58,3364,2500,64,2900,4.07753744390572,7.0710678118654755,40000,0.005,True,False,0.0725
250,1,121,110,9,235,11,0.484,0.44,0.036,0.94,0.044,1.1,13.444444444444445,12.222222222222221,2.1363636363636362,0.09090909090909091,11,-110,119,14641,12100,81,13310,4.804021044733257,10.488088481701515,62500,0.004,True,False,0.21295999999999998
200,0,62,62,8,185,11,0.31,0.31,0.04,0.925,0.055,1.0,7.75,7.75,2.9838709677419355,0.1774193548387097,0,-51,70,3844,3844,64,3844,4.143134726391533,7.874007874011811,40000,0.005,True,False,0.0961
150,1,77,71,7,144,7,0.5133333333333333,0.47333333333333333,0.04666666666666667,0.96,0.04666666666666667,1.0845070422535212,11.0,10.142857142857142,2.028169014084507,0.09090909090909091,6,-70,78,5929,5041,49,5467,4.356708826689592,8.426149773176359,22500,0.006666666666666667,True,False,0.24297777777777776
100,1,51,46,8,94,9,0.51,0.46,0.08,0.94,0.09,1.108695652173913,6.375,5.75,2.0434782608695654,0.17647058823529413,5,-42,54,2601,2116,64,2346,3.9512437185814275,6.782329983125268,10000,0.01,False,False,0.2346
300,1,117,110,12,292,14,0.39,0.36666666666666664,0.04,0.9733333333333334,0.04666666666666667,1.0636363636363637,9.75,9.166666666666666,2.6545454545454548,0.11965811965811966,7,-103,122,13689,12100,144,12870,4.770684624465665,10.488088481701515,90000,0.0033333333333333335,True,False,0.143
300,0,85,85,11,292,12,0.2833333333333333,0.2833333333333333,0.03666666666666667,0.9733333333333334,0.04,1.0,7.7272727272727275,7.7272727272727275,3.4352941176470586,0.1411764705882353,0,-73,96,7225,7225,121,7225,4.454347296253507,9.219544457292887,90000,0.0033333333333333335,True,False,0.08027777777777777
350,0,96,89,10,344,13,0.2742857142857143,0.2542857142857143,0.02857142857142857,0.9828571428571429,0.037142857142857144,1.0786516853932584,9.6,8.9,3.865168539325843,0.13541666666666666,7,-83,99,9216,7921,100,8544,4.574710978503383,9.433981132056603,122500,0.002857142857142857,False,True,0.0697469387755102
400,1,201,170,17,397,17,0.5025,0.425,0.0425,0.9925,0.0425,1.1823529411764706,11.823529411764707,10.0,2.335294117647059,0.0845771144278607,31,-184,187,40401,28900,289,34170,5.308267697401205,13.038404810405298,160000,0.0025,False,True,0.21356249999999996
300,0,103,103,9,295,13,0.3433333333333333,0.3433333333333333,0.03,0.9833333333333333,0.043333333333333335,1.0,11.444444444444445,11.444444444444445,2.8640776699029127,0.1262135922330097,0,-90,112,10609,10609,81,10609,4.6443908991413725,10.14889156509222,90000,0.0033333333333333335,True,False,0.11787777777777778
450,1,190,179,9,434,12,0.4222222222222222,0.3977777777777778,0.02,0.9644444444444444,0.02666666666666667,1.0614525139664805,21.11111111111111,19.88888888888889,2.4245810055865924,0.06315789473684211,11,-178,188,36100,32041,81,34010,5.25227342804663,13.379088160259652,202500,0.0022222222222222222,False,True,0.1679506172839506
400,0,117,117,11,373,15,0.2925,0.2925,0.0275,0.9325,0.0375,1.0,10.636363636363637,10.636363636363637,3.1880341880341883,0.1282051282051282,0,-102,128,13689,13689,121,13689,4.770684624465665,10.816653826391969,160000,0.0025,False,True,0.08555624999999999
50,1,24,18,7,48,8,0.48,0.36,0.14,0.96,0.16,1.3333333333333333,3.4285714285714284,2.5714285714285716,2.6666666666666665,0.3333333333333333,6,-16,25,576,324,49,432,3.2188758248682006,4.242640687119285,2500,0.02,False,False,0.17279999999999998
350,1,153,148,10,345,13,0.43714285714285717,0.4228571428571429,0.02857142857142857,0.9857142857142858,0.037142857142857144,1.0337837837837838,15.3,14.8,2.331081081081081,0.08496732026143791,5,-140,158,23409,21904,100,22644,5.0369526024136295,12.165525060596439,122500,0.002857142857142857,False,True,0.18484897959183674
250,0,79,79,11,240,13,0.316,0.316,0.044,0.96,0.052,1.0,7.181818181818182,7.181818181818182,3.037974683544304,0.16455696202531644,0,-66,90,6241,6241,121,6241,4.382026634673881,8.888194417315589,62500,0.004,True,False,0.099856
350,1,165,156,10,345,12,0.4714285714285714,0.44571428571428573,0.02857142857142857,0.9857142857142858,0.03428571428571429,1.0576923076923077,16.5,15.6,2.2115384615384617,0.07272727272727272,9,-153,166,27225,24336,100,25740,5.111987788356544,12.489995996796797,122500,0.002857142857142857,False,True,0.21012244897959184
300,1,134,122,10,293,12,0.44666666666666666,0.4066666666666667,0.03333333333333333,0.9766666666666667,0.04,1.098360655737705,13.4,12.2,2.401639344262295,0.08955223880597014,12,-122,132,17956,14884,100,16348,4.90527477843843,11.045361017187261,90000,0.0033333333333333335,True,False,0.18164444444444444
150,1,59,59,11,147,12,0.3933333333333333,0.3933333333333333,0.07333333333333333,0.98,0.08,1.0,5.363636363636363,5.363636363636363,2.4915254237288136,0.2033898305084746,0,-47,70,3481,3481,121,3481,4.0943445622221,7.681145747868608,22500,0.006666666666666667,True,False,0.1547111111111111
150,0,48,48,10,145,11,0.32,0.32,0.06666666666666667,0.9666666666666667,0.07333333333333333,1.0,4.8,4.8,3.0208333333333335,0.22916666666666666,0,-37,58,2304,2304,100,2304,3.8918202981106265,6.928203230275509,22500,0.006666666666666667,True,False,0.1024
100,1,49,30,7,95,9,0.49,0.3,0.07,0.95,0.09,1.6333333333333333,7.0,4.285714285714286,3.1666666666666665,0.1836734693877551,19,-40,37,2401,900,49,1470,3.912023005428146,5.477225575051661,10000,0.01,False,False,0.147
500,1,238,232,14,494,16,0.476,0.464,0.028,0.988,0.032,1.0258620689655173,17.0,16.571428571428573,2.1293103448275863,0.06722689075630252,6,-222,246,56644,53824,196,55216,5.476463551931511,15.231546211727817,250000,0.002,False,True,0.220864
500,0,175,170,11,489,13,0.35,0.34,0.022,0.978,0.026,1.0294117647058822,15.909090909090908,15.454545454545455,2.876470588235294,0.07428571428571429,5,-162,181,30625,28900,121,29750,5.170483995038151,13.038404810405298,250000,0.002,False,True,0.119
200,0,59,59,11,185,13,0.295,0.295,0.055,0.925,0.065,1.0,5.363636363636363,5.363636363636363,3.135593220338983,0.22033898305084745,0,-46,70,3481,3481,121,3481,4.0943445622221,7.681145747868608,40000,0.005,True,False,0.08702499999999999
300,1,149,132,9,296,11,0.49666666666666665,0.44,0.03,0.9866666666666667,0.03666666666666667,1.128787878787879,16.555555555555557,14.666666666666666,2.242424242424242,0.0738255033557047,17,-138,141,22201,17424,81,19668,5.0106352940962555,11.489125293076057,90000,0.0033333333333333335,True,False,0.21853333333333333
400,0,129,129,14,387,16,0.3225,0.3225,0.035,0.9675,0.04,1.0,9.214285714285714,9.214285714285714,3.0,0.12403100775193798,0,-113,143,16641,16641,196,16641,4.867534450455582,11.357816691600547,160000,0.0025,False,True,0.10400625000000001
150,0,45,44,10,142,10,0.3,0.29333333333333333,0.06666666666666667,0.9466666666666667,0.06666666666666667,1.0227272727272727,4.5,4.4,3.227272727272727,0.2222222222222222,1,-35,54,2025,1936,100,1980,3.828641396489095,6.6332495807108,22500,0.006666666666666667,True,False,0.088
100,1,43,37,10,96,11,0.43,0.37,0.1,0.96,0.11,1.162162162162162,4.3,3.7,2.5945945945945947,0.2558139534883721,6,-32,47,1849,1369,100,1591,3.784189633918261,6.082762530298219,10000,0.01,False,False,0.1591
100,0,34,34,9,96,11,0.34,0.34,0.09,0.96,0.11,1.0,3.7777777777777777,3.7777777777777777,2.823529411764706,0.3235294117647059,0,-23,43,1156,1156,81,1156,3.5553480614894135,5.830951894845301,10000,0.01,False,False,0.11560000000000002
500,0,149,149,12,488,15,0.298,0.298,0.024,0.976,0.03,1.0,12.416666666666666,12.416666666666666,3.2751677852348995,0.10067114093959731,0,-134,161,22201,22201,144,22201,5.0106352940962555,12.206555615733702,250000,0.002,False,True,0.088804
250,1,118,110,9,247,12,0.472,0.44,0.036,0.988,0.048,1.0727272727272728,13.11111111111111,12.222222222222221,2.2454545454545456,0.1016949152542373,8,-106,119,13924,12100,81,12980,4.77912349311153,10.488088481701515,62500,0.004,True,False,0.20768
100,0,29,27,9,93,9,0.29,0.27,0.09,0.93,0.09,1.0740740740740742,3.2222222222222223,3.0,3.4444444444444446,0.3103448275862069,2,-20,36,841,729,81,783,3.4011973816621555,5.196152422706632,10000,0.01,False,False,0.0783
300,1,151,146,10,293,12,0.5033333333333333,0.4866666666666667,0.03333333333333333,0.9766666666666667,0.04,1.0342465753424657,15.1,14.6,2.006849315068493,0.07947019867549669,5,-139,156,22801,21316,100,22046,5.0238805208462765,12.083045973594572,90000,0.0033333333333333335,True,False,0.24495555555555557
200,0,60,58,9,183,10,0.3,0.29,0.045,0.915,0.05,1.0344827586206897,6.666666666666667,6.444444444444445,3.1551724137931036,0.16666666666666666,2,-50,67,3600,3364,81,3480,4.110873864173311,7.615773105863909,40000,0.005,True,False,0.087
500,1,223,200,15,492,17,0.446,0.4,0.03,0.984,0.034,1.115,14.866666666666667,13.333333333333334,2.46,0.07623318385650224,23,-206,215,49729,40000,225,44600,5.4116460518550396,14.142135623730951,250000,0.002,False,True,0.1784
500,0,189,189,9,492,13,0.378,0.378,0.018,0.984,0.026,1.0,21.0,21.0,2.6031746031746033,0.06878306878306878,0,-176,198,35721,35721,81,35721,5.247024072160486,13.74772708486752,250000,0.002,False,True,0.142884
50,1,24,20,5,40,6,0.48,0.4,0.1,0.8,0.12,1.2,4.8,4.0,2.0,0.25,4,-18,25,576,400,25,480,3.2188758248682006,4.47213595499958,2500,0.02,False,False,0.192
400,0,113,111,11,392,15,0.2825,0.2775,0.0275,0.98,0.0375,1.018018018018018,10.272727272727273,10.090909090909092,3.5315315315315314,0.13274336283185842,2,-98,122,12769,12321,121,12543,4.736198448394496,10.535653752852738,160000,0.0025,False,True,0.07839375
50,0,22,21,5,37,6,0.44,0.42,0.1,0.74,0.12,1.0476190476190477,4.4,4.2,1.7619047619047619,0.2727272727272727,1,-16,26,484,441,25,462,3.1354942159291497,4.58257569495584,2500,0.02,False,False,0.1848
25,1,14,13,4,18,6,0.56,0.52,0.16,0.72,0.24,1.0769230769230769,3.5,3.25,1.3846153846153846,0.42857142857142855,1,-8,17,196,169,16,182,2.70805020110221,3.605551275463989,625,0.04,False,False,0.2912
350,1,163,158,12,339,13,0.4657142857142857,0.4514285714285714,0.03428571428571429,0.9685714285714285,0.037142857142857144,1.0316455696202531,13.583333333333334,13.166666666666666,2.1455696202531644,0.07975460122699386,5,-150,170,26569,24964,144,25754,5.099866427824199,12.569805089976535,122500,0.002857142857142857,False,True,0.21023673469387752
250,1,116,83,10,249,12,0.464,0.332,0.04,0.996,0.048,1.3975903614457832,11.6,8.3,3.0,0.10344827586206896,33,-104,93,13456,6889,100,9628,4.762173934797756,9.1104335791443,62500,0.004,True,False,0.15404800000000002
25,1,15,15,5,24,6,0.6,0.6,0.2,0.96,0.24,1.0,3.0,3.0,1.6,0.4,0,-9,20,225,225,25,225,2.772588722239781,3.872983346207417,625,0.04,False,False,0.36
500,1,225,219,12,497,15,0.45,0.438,0.024,0.994,0.03,1.0273972602739727,18.75,18.25,2.269406392694064,0.06666666666666667,6,-210,231,50625,47961,144,49275,5.420534999272286,14.798648586948742,250000,0.002,False,True,0.1971
25,1,11,11,5,22,6,0.44,0.44,0.2,0.88,0.24,1.0,2.2,2.2,2.0,0.5454545454545454,0,-5,16,121,121,25,121,2.4849066497880004,3.3166247903554,625,0.04,False,False,0.1936
150,1,78,78,8,144,9,0.52,0.52,0.05333333333333334,0.96,0.06,1.0,9.75,9.75,1.8461538461538463,0.11538461538461539,0,-69,86,6084,6084,64,6084,4.3694478524670215,8.831760866327848,22500,0.006666666666666667,True,False,0.27040000000000003
300,1,139,139,8,293,10,0.4633333333333333,0.4633333333333333,0.02666666666666667,0.9766666666666667,0.03333333333333333,1.0,17.375,17.375,2.1079136690647484,0.07194244604316546,0,-129,147,19321,19321,64,19321,4.941642422609304,11.789826122551595,90000,0.0033333333333333335,True,False,0.21467777777777777
25,1,14,11,5,22,5,0.56,0.44,0.2,0.88,0.2,1.2727272727272727,2.8,2.2,2.0,0.35714285714285715,3,-9,16,196,121,25,154,2.70805020110221,3.3166247903554,625,0.04,False,False,0.24640000000000004
200,0,60,60,8,193,9,0.3,0.3,0.04,0.965,0.045,1.0,7.5,7.5,3.216666666666667,0.15,0,-51,68,3600,3600,64,3600,4.110873864173311,7.745966692414834,40000,0.005,True,False,0.09
200,1,88,88,10,197,12,0.44,0.44,0.05,0.985,0.06,1.0,8.8,8.8,2.2386363636363638,0.13636363636363635,0,-76,98,7744,7744,100,7744,4.48863636973214,9.38083151964686,40000,0.005,True,False,0.1936
250,0,72,72,11,242,14,0.288,0.288,0.044,0.968,0.056,1.0,6.545454545454546,6.545454545454546,3.361111111111111,0.19444444444444445,0,-58,83,5184,5184,121,5184,4.290459441148391,8.48528137423857,62500,0.004,True,False,0.08294399999999999
500,1,241,237,14,498,16,0.482,0.474,0.028,0.996,0.032,1.0168776371308017,17.214285714285715,16.928571428571427,2.1012658227848102,0.06639004149377593,4,-225,251,58081,56169,196,57117,5.488937726156687,15.394804318340652,250000,0.002,False,True,0.22846799999999998
100,0,46,46,10,95,11,0.46,0.46,0.1,0.95,0.11,1.0,4.6,4.6,2.0652173913043477,0.2391304347826087,0,-35,56,2116,2116,100,2116,3.8501476017100584,6.782329983125268,10000,0.01,False,False,0.2116
250,1,131,115,9,242,11,0.524,0.46,0.036,0.968,0.044,1.1391304347826088,14.555555555555555,12.777777777777779,2.1043478260869564,0.08396946564885496,16,-120,124,17161,13225,81,15065,4.882801922586371,10.723805294763608,62500,0.004,True,False,0.24104000000000003
25,0,8,7,7,19,8,0.32,0.28,0.28,0.76,0.32,1.1428571428571428,1.1428571428571428,1.0,2.7142857142857144,1.0,1,0,14,64,49,49,56,2.1972245773362196,2.6457513110645907,625,0.04,False,False,0.08960000000000001
25,1,10,10,3,11,3,0.4,0.4,0.12,0.44,0.12,1.0,3.3333333333333335,3.3333333333333335,1.1,0.3,0,-7,13,100,100,9,100,2.3978952727983707,3.1622776601683795,625,0.04,False,False,0.16000000000000003
100,0,32,31,9,92,11,0.32,0.31,0.09,0.92,0.11,1.032258064516129,3.5555555555555554,3.4444444444444446,2.967741935483871,0.34375,1,-21,40,1024,961,81,992,3.4965075614664802,5.5677643628300215,10000,0.01,False,False,0.0992
350,0,112,112,10,335,13,0.32,0.32,0.02857142857142857,0.9571428571428572,0.037142857142857144,1.0,11.2,11.2,2.9910714285714284,0.11607142857142858,0,-99,122,12544,12544,100,12544,4.727387818712341,10.583005244258363,122500,0.002857142857142857,False,True,0.1024
100,1,40,36,8,97,10,0.4,0.36,0.08,0.97,0.1,1.1111111111111112,5.0,4.5,2.6944444444444446,0.25,4,-30,44,1600,1296,64,1440,3.713572066704308,6.0,10000,0.01,False,False,0.144
500,0,183,166,12,488,15,0.366,0.332,0.024,0.976,0.03,1.1024096385542168,15.25,13.833333333333334,2.9397590361445785,0.08196721311475409,17,-168,178,33489,27556,144,30378,5.214935757608986,12.884098726725126,250000,0.002,False,True,0.12151200000000001
100,0,30,26,8,78,9,0.3,0.26,0.08,0.78,0.09,1.1538461538461537,3.75,3.25,3.0,0.3,4,-21,34,900,676,64,780,3.4339872044851463,5.0990195135927845,10000,0.01,False,False,0.078
50,1,23,23,6,46,8,0.46,0.46,0.12,0.92,0.16,1.0,3.8333333333333335,3.8333333333333335,2.0,0.34782608695652173,0,-15,29,529,529,36,529,3.1780538303479458,4.795831523312719,2500,0.02,False,False,0.2116
100,1,51,47,5,99,7,0.51,0.47,0.05,0.99,0.07,1.0851063829787233,10.2,9.4,2.106382978723404,0.13725490196078433,4,-44,52,2601,2209,25,2397,3.9512437185814275,6.855654600401044,10000,0.01,False,False,0.2397
300,1,125,125,12,293,14,0.4166666666666667,0.4166666666666667,0.04,0.9766666666666667,0.04666666666666667,1.0,10.416666666666666,10.416666666666666,2.344,0.112,0,-111,137,15625,15625,144,15625,4.836281906951478,11.180339887498949,90000,0.0033333333333333335,True,False,0.17361111111111113
450,0,136,136,12,439,15,0.3022222222222222,0.3022222222222222,0.02666666666666667,0.9755555555555555,0.03333333333333333,1.0,11.333333333333334,11.333333333333334,3.2279411764705883,0.11029411764705882,0,-121,148,18496,18496,144,18496,4.919980925828125,11.661903789690601,202500,0.0022222222222222222,False,True,0.09133827160493828
100,1,43,42,8,98,9,0.43,0.42,0.08,0.98,0.09,1.0238095238095237,5.375,5.25,2.3333333333333335,0.20930232558139536,1,-34,50,1849,1764,64,1806,3.784189633918261,6.48074069840786,10000,0.01,False,False,0.18059999999999998
350,0,116,113,10,343,12,0.3314285714285714,0.32285714285714284,0.02857142857142857,0.98,0.03428571428571429,1.0265486725663717,11.6,11.3,3.0353982300884956,0.10344827586206896,3,-104,123,13456,12769,100,13108,4.762173934797756,10.63014581273465,122500,0.002857142857142857,False,True,0.10700408163265306
450,1,205,194,14,442,16,0.45555555555555555,0.4311111111111111,0.03111111111111111,0.9822222222222222,0.035555555555555556,1.056701030927835,14.642857142857142,13.857142857142858,2.2783505154639174,0.07804878048780488,11,-189,208,42025,37636,196,39770,5.327876168789581,13.92838827718412,202500,0.0022222222222222222,False,True,0.19639506172839505
150,0,44,44,11,140,14,0.29333333333333333,0.29333333333333333,0.07333333333333333,0.9333333333333333,0.09333333333333334,1.0,4.0,4.0,3.1818181818181817,0.3181818181818182,0,-30,55,1936,1936,121,1936,3.8066624897703196,6.6332495807108,22500,0.006666666666666667,True,False,0.08604444444444445
50,0,15,14,7,47,9,0.3,0.28,0.14,0.94,0.18,1.0714285714285714,2.142857142857143,2.0,3.357142857142857,0.6,1,-6,21,225,196,49,210,2.772588722239781,3.7416573867739413,2500,0.02,False,False,0.084
50,0,17,17,8,34,10,0.34,0.34,0.16,0.68,0.2,1.0,2.125,2.125,2.0,0.5882352941176471,0,-7,25,289,289,64,289,2.8903717578961645,4.123105625617661,2500,0.02,False,False,0.11560000000000002
150,0,50,50,9,143,10,0.3333333333333333,0.3333333333333333,0.06,0.9533333333333334,0.06666666666666667,1.0,5.555555555555555,5.555555555555555,2.86,0.2,0,-40,59,2500,2500,81,2500,3.9318256327243257,7.0710678118654755,22500,0.006666666666666667,True,False,0.1111111111111111
250,0,83,81,10,245,12,0.332,0.324,0.04,0.98,0.048,1.0246913580246915,8.3,8.1,3.0246913580246915,0.14457831325301204,2,-71,91,6889,6561,100,6723,4.430816798843313,9.0,62500,0.004,True,False,0.10756800000000001
450,0,145,145,14,440,15,0.32222222222222224,0.32222222222222224,0.03111111111111111,0.9777777777777777,0.03333333333333333,1.0,10.357142857142858,10.357142857142858,3.0344827586206895,0.10344827586206896,0,-130,159,21025,21025,196,21025,4.983606621708336,12.041594578792296,202500,0.0022222222222222222,False,True,0.10382716049382718
300,1,130,127,11,294,13,0.43333333333333335,0.42333333333333334,0.03666666666666667,0.98,0.043333333333333335,1.0236220472440944,11.818181818181818,11.545454545454545,2.3149606299212597,0.1,3,-117,138,16900,16129,121,16510,4.875197323201151,11.269427669584644,90000,0.0033333333333333335,True,False,0.18344444444444447
500,1,223,218,12,492,14,0.446,0.436,0.024,0.984,0.028,1.0229357798165137,18.583333333333332,18.166666666666668,2.256880733944954,0.06278026905829596,5,-209,230,49729,47524,144,48614,5.4116460518550396,14.7648230602334,250000,0.002,False,True,0.194456
200,0,71,71,9,190,12,0.355,0.355,0.045,0.95,0.06,1.0,7.888888888888889,7.888888888888889,2.676056338028169,0.16901408450704225,0,-59,80,5041,5041,81,5041,4.276666119016055,8.426149773176359,40000,0.005,True,False,0.126025
400,0,123,120,13,392,14,0.3075,0.3,0.0325,0.98,0.035,1.025,9.461538461538462,9.23076923076923,3.2666666666666666,0.11382113821138211,3,-109,133,15129,14400,169,14760,4.820281565605037,10.954451150103322,160000,0.0025,False,True,0.09225
300,1,149,143,10,281,12,0.49666666666666665,0.4766666666666667,0.03333333333333333,0.9366666666666666,0.04,1.0419580419580419,14.9,14.3,1.965034965034965,0.08053691275167785,6,-137,153,22201,20449,100,21307,5.0106352940962555,11.958260743101398,90000,0.0033333333333333335,True,False,0.23674444444444445
250,1,116,112,11,241,13,0.464,0.448,0.044,0.964,0.052,1.0357142857142858,10.545454545454545,10.181818181818182,2.1517857142857144,0.11206896551724138,4,-103,123,13456,12544,121,12992,4.762173934797756,10.583005244258363,62500,0.004,True,False,0.207872
450,1,206,194,15,442,16,0.4577777777777778,0.4311111111111111,0.03333333333333333,0.9822222222222222,0.035555555555555556,1.0618556701030928,13.733333333333333,12.933333333333334,2.2783505154639174,0.07766990291262135,12,-190,209,42436,37636,225,39964,5.332718793265369,13.92838827718412,202500,0.0022222222222222222,False,True,0.19735308641975308
